month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
1,0.08783783783783783,0.2727272727272727,0.02777777777777779,male,Incomplete higher education,Household appliances,0,2,0.0625,Another,0,1,0
1,0.20777027027027029,0.2727272727272727,0.41666666666666663,female,Secondary special education,Cell phones,0,1,0.275,Another,0,0,0
1,0.02702702702702703,0.2727272727272727,0.13888888888888884,male,Higher education,Household appliances,1,2,0.045,Unmarried,1,1,0
1,0.07263513513513514,0.6363636363636364,0.5555555555555555,female,Higher education,Household appliances,1,0,0.0625,Another,1,0,0
1,0.07263513513513514,0.0,0.3055555555555556,female,Secondary special education,Household appliances,1,2,0.125,Another,0,1,0
1,0.10135135135135134,0.2727272727272727,0.13888888888888884,male,Higher education,Cell phones,1,1,0.0825,Another,1,1,0
1,0.011824324324324322,0.09090909090909091,0.13888888888888884,male,Secondary special education,Cell phones,0,2,0.045,Unmarried,3,0,1
1,0.05405405405405405,0.4545454545454545,0.13888888888888884,male,Higher education,Furniture,1,2,0.05,Another,0,1,0
1,0.005067567567567568,0.0,0.6666666666666666,male,Secondary special education,Household appliances,1,2,0.045,Another,2,1,0
1,0.07432432432432431,0.09090909090909091,0.13888888888888884,male,Secondary special education,Cell phones,0,0,0.075,Married,0,1,0
1,0.010135135135135132,0.2727272727272727,0.09722222222222221,female,Secondary education,Household appliances,0,2,0.025000000000000005,Married,3,1,1
1,0.12837837837837837,0.4545454545454545,0.125,male,Secondary special education,Household appliances,1,2,0.045,Another,0,0,0
1,0.006756756756756757,0.09090909090909091,0.26388888888888884,male,Secondary special education,Household appliances,1,2,0.0375,Another,0,0,0
1,0.03547297297297297,0.21212121212121213,0.09722222222222221,female,Secondary education,Household appliances,0,2,0.045,Another,1,1,1
1,0.033783783783783786,0.09090909090909091,0.20833333333333331,female,Secondary special education,Furniture,1,2,0.0325,Another,2,0,0
1,0.2685810810810811,0.4545454545454545,0.3055555555555556,male,Secondary special education,Tourism,1,2,0.15000000000000002,Married,1,0,0
1,0.057432432432432436,0.1818181818181818,0.013888888888888895,male,Incomplete higher education,Cell phones,0,0,0.05,Another,1,1,0
1,0.0641891891891892,0.09090909090909091,0.43055555555555547,male,Higher education,Clothing,0,2,0.075,Married,3,1,0
1,0.01351351351351351,0.09090909090909091,0.43055555555555547,female,Secondary education,Cell phones,0,2,0.075,Another,0,1,0
1,0.10135135135135134,0.2727272727272727,0.33333333333333326,male,Higher education,Furniture,1,2,0.025000000000000005,Married,0,1,0
1,0.010135135135135132,0.09090909090909091,0.08333333333333331,female,Secondary special education,Cell phones,0,2,0.0375,Married,1,1,0
1,0.03547297297297297,0.2727272727272727,0.04166666666666663,female,Secondary special education,Cell phones,0,2,0.125,Another,0,0,0
1,0.06249999999999999,0.21212121212121213,0.7083333333333333,male,Higher education,Medical services,0,1,0.0375,Another,0,1,0
1,0.10472972972972971,0.4545454545454545,0.19444444444444442,male,Higher education,Clothing,0,2,0.08750000000000001,Another,0,1,1
1,0.09966216216216217,0.2727272727272727,0.3472222222222222,female,Secondary special education,Cell phones,1,2,0.2,Unmarried,1,1,0
1,0.0,0.21212121212121213,0.29166666666666663,female,Secondary special education,Household appliances,1,2,0.075,Married,1,0,0
1,0.0152027027027027,0.030303030303030304,0.125,female,Secondary special education,Cell phones,0,2,0.075,Married,1,0,0
1,0.08108108108108109,0.2727272727272727,0.15277777777777773,female,Higher education,Household appliances,0,2,0.1125,Another,1,1,0
1,0.040540540540540536,0.2727272727272727,0.29166666666666663,male,Secondary special education,Cell phones,0,2,0.05,Married,2,1,0
1,0.15202702702702703,0.4545454545454545,0.06944444444444442,female,Secondary special education,Household appliances,0,2,0.05,Another,0,1,1
1,0.021959459459459457,0.030303030303030304,0.26388888888888884,female,Secondary education,Household appliances,1,2,0.0475,Another,2,1,0
